Veg_Type,Moisture_Reg,preBackfill_Source,Combined,need_CWCS
Pine spp MixCD,wet-derived,AVIE,TreedSwamp-Mixedwood,
Pine spp MixDC,d,AVIE,Mixedwood,
Pine spp MixDC,m,ABMICutblock,Mixedwood,
Pine spp MixDC,m,AVIE,Mixedwood,
Pine spp MixWet,d,AVIE,Pine,
Pine spp MixWet,m,AVIE,Pine,
Pine spp MixWet,w,AVIE,Pine,
Pine spp,d,ABMICutblock,Pine,
Pine spp,d,AVIE,Pine,
Pine spp,dry-derived,GVI,Pine,
Pine spp,m,ABMICutblock,Pine,
Pine spp,m,AVIE,Pine,
Pine spp,mesic-derived,GVI,Pine,
Pine spp,w,AVIE,Pine,
Pine spp,w-derived,AVIE,Pine,
Pine,dry-derived,AGCCPine,Pine,
Pine,dry-derived,Phase1,Pine,
Pine,dry-derived,WBNP,Pine,
Plains cottonwood MixD,mesic-derived,GVI,Decid,
Plains cottonwood,dry-derived,GVI,Decid,
Plains cottonwood,mesic-derived,GVI,Decid,
Poplar spp MixD,mesic-derived,GVI,Decid,
Poplar spp MixDC,dry-derived,GVI,Mixedwood,
Poplar spp MixDC,mesic-derived,GVI,Mixedwood,
Poplar spp,dry-derived,GVI,Decid,
Poplar spp,mesic-derived,GVI,Decid,
Poplar spp,wet-derived,GVI,TreedSwamp-Decid,
Rock/Rubble,1A,PLVI,Bare,
Rock/Rubble,dry-derived,AVIE,Bare,
Rock/Rubble,dry-derived,GVI,Bare,
Rock/Rubble,dry-derived,Phase1,Bare,
Rock/Rubble,dry-derived,PLVI,Bare,
Rock/Rubble,mesic-derived,AVIE,Bare,
Rock/Rubble,mesic-derived,PLVI,Bare,
Rock/Rubble,w-derived,AVIE,Bare,
Rock/Rubble,wet-derived,AVIE,Bare,
Rock/Rubble,wet-derived,PLVI,Bare,
Rock,dry-derived,WBNP,Bare,
Rock,Xeric-derived,MTNP,Bare,
RockBarren,dry-derived,Phase1,Bare,
RockBarren,dry-derived,WBNP,Bare,
Saline lowland,mesic-derived,GVI,Alkali,
Sand,dry-derived,WBNP,Bare,
Sedge fen,Hydric,MTNP,GraminoidFen,
Shrub fen,Sub-Hydric,MTNP,ShrubbyFen,
Shrub marsh,Hygric,MTNP,ShrubbySwamp,
Shrub marsh,Sub-Hydric,MTNP,ShrubbySwamp,
Shrub,3B,PLVI,Shrub,
Shrub,3C,PLVI,Shrub,
Shrub,4C,PLVI,Shrub,
Shrub,5B,PLVI,Shrub,
Shrub,5C,PLVI,Shrub,
Shrub,5D,PLVI,Shrub,
Shrub,6C,PLVI,Shrub,
Shrub,6D,PLVI,Shrub,
Shrub,6E,PLVI,Shrub,
Shrub,7B,PLVI,ShrubbyWetland,x
Shrub,7C,PLVI,ShrubbyWetland,x
Shrub,7D,PLVI,ShrubbyWetland,x
Shrub,a,AVIE,ShrubbyWetland,x
Shrub,d,AVIE,Shrub,
Shrub,d,EINP,Shrub,
Shrub,dry-derived,AVIE,Shrub,
Shrub,dry-derived,CPVI,Shrub,
Shrub,dry-derived,GVI,Shrub,
Shrub,dry-derived,Phase1,Shrub,
Shrub,dry-derived,PLVI,Shrub,
Shrub,Hydric,MTNP,ShrubbyWetland,x
Shrub,m,AVIE,Shrub,
Shrub,m,EINP,Shrub,
Shrub,Mesic,MTNP,Shrub,
Shrub,mesic-derived,AVIE,Shrub,
Shrub,mesic-derived,CPVI,Shrub,
Shrub,mesic-derived,EINP,Shrub,
Shrub,mesic-derived,GVI,Shrub,
Shrub,mesic-derived,Phase1,Shrub,
Shrub,mesic-derived,PLVI,Shrub,
Shrub,mesic-derived,WBNP,Shrub,
Shrub,Sub-Hydric,MTNP,ShrubbyWetland,x
Shrub,Sub-Mesic,MTNP,Shrub,
Shrub,w,AVIE,ShrubbyWetland,x
Shrub,w,EINP,ShrubbyWetland,x
Shrub,w-derived,AVIE,ShrubbyWetland,x
Shrub,wet-derived,AVIE,ShrubbyWetland,x
Shrub,wet-derived,CPVI,ShrubbyWetland,x
Shrub,wet-derived,GVI,ShrubbyWetland,x
Shrub,wet-derived,Phase1,ShrubbyWetland,x
Shrub,Xeric,MTNP,Shrub,
ShrubBog,9B,PLVI,ShrubbyBog,
ShrubFen,9C,PLVI,ShrubbyFen,
ShrubFen,9D,PLVI,ShrubbyFen,
Snow/Ice,mesic-derived,Phase1,SnowIce,
Spruce bog,Hydric,MTNP,TreedBog-BSpr,
Spruce bog,Sub-Hydric,MTNP,TreedBog-BSpr,
Spruce spp MixCD,dry-derived,GVI,TreedSwamp-Mixedwood,
Spruce spp MixCD,mesic-derived,GVI,TreedSwamp-Mixedwood,
Spruce spp,dry-derived,GVI,TreedBog-BSpr,
Spruce spp,mesic-derived,GVI,TreedBog-BSpr,
Subalpine fir,Mesic,MTNP,Fir,
Subalpine fir,Sub-Mesic,MTNP,Fir,
Subalpine larch,Mesic,MTNP,AlpineLarch,
Subalpine larch,Sub-Mesic,MTNP,AlpineLarch,
Swamp Shrub,wet-derived,WBNP,ShrubbySwamp,
Swamp,9B,PLVI,ShrubbySwamp,
Swamp,wet-derived,AVIE,ShrubbySwamp,
Swamp,wet-derived,CPVI,ShrubbySwamp,
Swamp,wet-derived,EINP,ShrubbySwamp,
Swamp,wet-derived,GVI,ShrubbySwamp,
Swamp,wet-derived,Phase1,ShrubbySwamp,
Swamp,wet-derived,PLVI,ShrubbySwamp,
Tamarack leading - conifer,7C,PLVI,TreedFen-Larch,
Tamarack leading - conifer,7D,PLVI,TreedFen-Larch,
Tamarack leading - mixedwood,7C,PLVI,TreedFen-Larch,
Tamarack MixCD,d,AVIE,TreedFen-Mixedwood,
Tamarack MixCD,m,AVIE,TreedFen-Mixedwood,
Tamarack MixCD,w,AVIE,TreedFen-Mixedwood,
Tamarack MixCD,w-derived,AVIE,TreedFen-Mixedwood,
Tamarack MixDC,m,AVIE,TreedFen-Mixedwood,
Tamarack MixDC,w,AVIE,TreedFen-Mixedwood,
Tamarack,a,AVIE,TreedFen-Larch,
Tamarack,m,AVIE,TreedFen-Larch,
Tamarack,w,AVIE,TreedFen-Larch,
Tamarack,w-derived,AVIE,TreedFen-Larch,
TreedBog - Black Spruce leading - conifer,9B,PLVI,TreedBog-BSpr,
TreedBog - Black Spruce leading - conifer,9C,PLVI,TreedBog-BSpr,
TreedBog - Black Spruce leading - mixedwood,9B,PLVI,TreedBog-BSpr,
TreedBog - No species info,9B,PLVI,TreedBog-BSpr,
TreedFen - Balsam poplar leading - mixedwood,9C,PLVI,TreedFen-Decid,
TreedFen - Black Spruce leading - conifer,9C,PLVI,TreedFen-BSpr,
TreedFen - Black Spruce leading - conifer,9D,PLVI,TreedFen-BSpr,
TreedFen - Black Spruce leading - mixedwood,9C,PLVI,TreedFen-BSpr,
TreedFen - No Species Info,9C,PLVI,TreedFen-Larch,
TreedFen - No Species Info,9D,PLVI,TreedFen-Larch,
TreedFen - Tamarack leading - conifer,9C,PLVI,TreedFen-Larch,
TreedFen - Tamarack leading - conifer,9D,PLVI,TreedFen-Larch,
TreedFen - Tamarack leading - mixedwood,9C,PLVI,TreedFen-Larch,
TreedFen - Tamarack leading - mixedwood,9D,PLVI,TreedFen-Larch,
TreedFen - Trembling aspen leading - deciduous,5C,PLVI,TreedFen-Decid,
TreedFen - White birch leading - deciduous,9C,PLVI,TreedSwamp-Decid,
TreedFen - White birch leading - mixedwood,9C,PLVI,TreedFen-Decid,
Trembling aspen leading - deciduous,3C,PLVI,Decid,
Trembling aspen leading - deciduous,4C,PLVI,Decid,
Trembling aspen leading - deciduous,5C,PLVI,Decid,
Trembling aspen leading - deciduous,5D,PLVI,Decid,
Trembling aspen leading - deciduous,6D,PLVI,Decid,
Trembling aspen leading - deciduous,7C,PLVI,TreedSwamp-Decid,
Trembling aspen leading - deciduous,7D,PLVI,TreedSwamp-Decid,
Trembling aspen leading - mixedwood,3C,PLVI,Mixedwood,
Trembling aspen leading - mixedwood,4C,PLVI,Mixedwood,
Trembling aspen leading - mixedwood,5C,PLVI,Mixedwood,
Trembling aspen leading - mixedwood,5D,PLVI,Mixedwood,
Trembling aspen leading - mixedwood,6D,PLVI,Mixedwood,
Trembling aspen leading - mixedwood,7D,PLVI,TreedSwamp-Mixedwood,
Trembling aspen MixCD,d,ABMICutblock,Mixedwood,
Trembling aspen MixCD,d,AVIE,Mixedwood,
Trembling aspen MixCD,dry-derived,GVI,Mixedwood,
Trembling aspen MixCD,m,ABMICutblock,Mixedwood,
Trembling aspen MixCD,m,AVIE,Mixedwood,
Trembling aspen MixCD,m,EINP,Mixedwood,
Trembling aspen MixCD,mesic-derived,EINP,Mixedwood,
Trembling aspen MixCD,mesic-derived,GVI,Mixedwood,
Trembling aspen MixCD,w,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixCD,w-derived,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixCD,wet-derived,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixD,d,ABMICutblock,Decid,
Trembling aspen MixD,d,AVIE,Decid,
Trembling aspen MixD,d,EINP,Decid,
Trembling aspen MixD,dry-derived,AVIE,Decid,
Trembling aspen MixD,dry-derived,GVI,Decid,
Trembling aspen MixD,m,ABMICutblock,Decid,
Trembling aspen MixD,m,AVIE,Decid,
Trembling aspen MixD,m,EINP,Decid,
Trembling aspen MixD,mesic-derived,AVIE,Decid,
Trembling aspen MixD,mesic-derived,GVI,Decid,
Trembling aspen MixD,w,AVIE,TreedSwamp-Decid,
Trembling aspen MixD,w,EINP,TreedSwamp-Decid,
Trembling aspen MixD,w-derived,AVIE,TreedSwamp-Decid,
Trembling aspen MixD,wet-derived,AVIE,TreedSwamp-Decid,
Trembling aspen MixD,wet-derived,GVI,TreedSwamp-Decid,
Trembling aspen MixDC,d,ABMICutblock,Mixedwood,
Trembling aspen MixDC,d,AVIE,Mixedwood,
Trembling aspen MixDC,dry-derived,AVIE,Mixedwood,
Trembling aspen MixDC,dry-derived,GVI,Mixedwood,
Trembling aspen MixDC,m,ABMICutblock,Mixedwood,
Trembling aspen MixDC,m,AVIE,Mixedwood,
Trembling aspen MixDC,m,EINP,Mixedwood,
Trembling aspen MixDC,mesic-derived,AVIE,Mixedwood,
Trembling aspen MixDC,mesic-derived,GVI,Mixedwood,
Trembling aspen MixDC,w,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixDC,w-derived,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixDC,wet-derived,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixWet,d,AVIE,TreedSwamp-Decid,
Trembling aspen MixWet,dry-derived,GVI,TreedSwamp-Decid,
Trembling aspen MixWet,m,AVIE,TreedSwamp-Decid,
Trembling aspen MixWet,m,EINP,TreedSwamp-Decid,
Trembling aspen MixWet,mesic-derived,GVI,TreedSwamp-Decid,
Trembling aspen MixWet,w,AVIE,TreedSwamp-Decid,
Trembling aspen MixWet,w-derived,AVIE,TreedSwamp-Decid,
Trembling aspen,d,ABMICutblock,Decid,
Trembling aspen,d,AVIE,Decid,
Trembling aspen,dry-derived,AVIE,Decid,
Trembling aspen,dry-derived,GVI,Decid,
Trembling aspen,m,ABMICutblock,Decid,
Trembling aspen,m,AVIE,Decid,
Trembling aspen,m,EINP,Decid,
Trembling aspen,mesic-derived,ABMICutblock,Decid,
Trembling aspen,mesic-derived,AVIE,Decid,
Trembling aspen,mesic-derived,CPVI,Decid,
Trembling aspen,mesic-derived,EINP,Decid,
Trembling aspen,mesic-derived,GVI,Decid,
Trembling aspen,mesic-derived,Phase1,Decid,
Trembling aspen,mesic-derived,PLVI,Decid,
Trembling aspen,w,AVIE,TreedSwamp-Decid,
Trembling aspen,w,EINP,TreedSwamp-Decid,
Trembling aspen,w-derived,AVIE,TreedSwamp-Decid,
Trembling aspen,wet-derived,AVIE,TreedSwamp-Decid,
Water,dry-derived,AVIE,Water,
Water,mesic-derived,AVIE,Water,
Water,mesic-derived,EINP,Water,
Water,Water,AVIE,Water,
Water,Water,Hydro,Water,
Water,Water,MTNP,Water,
Water,Water,PLVI,Water,
Water,Water,WBNP,Water,
Water,wet-derived,AVIE,Water,
Water,wet-derived,EINP,Water,
Water,wet-derived,GVI,Water,
Western larch,w,AVIE,TreedFen-Larch,
White birch leading - deciduous,5C,PLVI,Decid,
White birch leading - deciduous,5D,PLVI,Decid,
White birch leading - deciduous,7C,PLVI,TreedSwamp-Decid,
White birch leading - deciduous,7D,PLVI,TreedSwamp-Decid,
White birch leading - mixedwood,5C,PLVI,Mixedwood,
White birch leading - mixedwood,5D,PLVI,Mixedwood,
White birch leading - mixedwood,6D,PLVI,Mixedwood,
White birch leading - mixedwood,7D,PLVI,TreedSwamp-Mixedwood,
White birch MixCD,m,ABMICutblock,Mixedwood,
White birch MixCD,m,AVIE,Mixedwood,
White birch MixCD,w,AVIE,TreedSwamp-Mixedwood,
White birch MixD,d,AVIE,Decid,
White birch MixD,m,ABMICutblock,Decid,
White birch MixD,m,AVIE,Decid,
White birch MixD,m,EINP,Decid,
White birch MixD,mesic-derived,AVIE,Decid,
White birch MixD,w,AVIE,TreedSwamp-Decid,
White birch MixD,w-derived,AVIE,TreedSwamp-Decid,
White birch MixDC,d,AVIE,Mixedwood,
White birch MixDC,m,ABMICutblock,Mixedwood,
White birch MixDC,m,AVIE,Mixedwood,
White birch MixDC,w,AVIE,TreedSwamp-Mixedwood,
White birch MixDC,w-derived,AVIE,TreedSwamp-Mixedwood,
White birch MixWet,m,AVIE,TreedSwamp-Decid,
White birch MixWet,w,AVIE,TreedSwamp-Decid,
White birch MixWet,w,EINP,TreedSwamp-Decid,
White birch MixWet,w-derived,AVIE,TreedSwamp-Decid,
White birch,d,AVIE,Decid,
White birch,m,ABMICutblock,Decid,
White birch,m,AVIE,Decid,
White birch,m,EINP,Decid,
White birch,w,AVIE,TreedSwamp-Decid,
White birch,w,EINP,TreedSwamp-Decid,
White birch,w-derived,AVIE,TreedSwamp-Decid,
White birch,wet-derived,AVIE,TreedSwamp-Decid,
White Spruce leading - conifer,3C,PLVI,Spruce,
White Spruce leading - conifer,5C,PLVI,Spruce,
White Spruce leading - conifer,5D,PLVI,Spruce,
White Spruce leading - conifer,7C,PLVI,TreedSwamp-Spruce,
White Spruce leading - conifer,7D,PLVI,TreedSwamp-Spruce,
White Spruce leading - mixedwood,3C,PLVI,Mixedwood,
White Spruce leading - mixedwood,5C,PLVI,Mixedwood,
White Spruce leading - mixedwood,5D,PLVI,Mixedwood,
White Spruce leading - mixedwood,6D,PLVI,Mixedwood,
White Spruce leading - mixedwood,7C,PLVI,TreedSwamp-Mixedwood,
White Spruce leading - mixedwood,7D,PLVI,TreedSwamp-Mixedwood,
White spruce MixC,d,ABMICutblock,Spruce,
White spruce MixC,d,AVIE,Spruce,
White spruce MixC,dry-derived,GVI,Spruce,
White spruce MixC,m,ABMICutblock,Spruce,
White spruce MixC,m,AVIE,Spruce,
White spruce MixC,mesic-derived,GVI,Spruce,
White spruce MixC,w,AVIE,TreedSwamp-Spruce,
White spruce MixC,w-derived,AVIE,TreedSwamp-Spruce,
White spruce MixCD,d,ABMICutblock,Mixedwood,
White spruce MixCD,d,AVIE,Mixedwood,
White spruce MixCD,dry-derived,AVIE,Mixedwood,
White spruce MixCD,dry-derived,GVI,Mixedwood,
White spruce MixCD,m,ABMICutblock,Mixedwood,
White spruce MixCD,m,AVIE,Mixedwood,
White spruce MixCD,m,EINP,Mixedwood,
White spruce MixCD,mesic-derived,AVIE,Mixedwood,
White spruce MixCD,mesic-derived,GVI,Mixedwood,
White spruce MixCD,w,AVIE,TreedSwamp-Mixedwood,
White spruce MixCD,w,EINP,TreedSwamp-Mixedwood,
White spruce MixCD,w-derived,AVIE,TreedSwamp-Mixedwood,
White spruce MixCD,wet-derived,AVIE,TreedSwamp-Mixedwood,
White spruce MixCD,wet-derived,GVI,TreedSwamp-Mixedwood,
White spruce MixDC,d,AVIE,Mixedwood,
White spruce MixDC,dry-derived,GVI,Mixedwood,
White spruce MixDC,m,ABMICutblock,Mixedwood,
White spruce MixDC,m,AVIE,Mixedwood,
White spruce MixDC,m,EINP,Mixedwood,
White spruce MixDC,mesic-derived,GVI,Mixedwood,
White spruce MixDC,w,AVIE,TreedSwamp-Mixedwood,
White spruce MixDC,w-derived,AVIE,TreedSwamp-Mixedwood,
White spruce MixWet,d,AVIE,TreedSwamp-Spruce,
White spruce MixWet,dry-derived,GVI,TreedSwamp-Spruce,
White spruce MixWet,m,AVIE,TreedSwamp-Spruce,
White spruce MixWet,mesic-derived,GVI,TreedSwamp-Spruce,
White spruce MixWet,w,AVIE,TreedSwamp-Spruce,
White spruce MixWet,w-derived,AVIE,TreedSwamp-Spruce,
White spruce,d,ABMICutblock,Spruce,
White spruce,d,AVIE,Spruce,
White spruce,dry-derived,AVIE,Spruce,
White spruce,dry-derived,GVI,Spruce,
White spruce,m,ABMICutblock,Spruce,
White spruce,m,AVIE,Spruce,
White spruce,m,EINP,Spruce,
White spruce,Mesic,ABMICutblock,Spruce,
White spruce,Mesic,MTNP,Spruce,
White spruce,mesic-derived,GVI,Spruce,
White spruce,mesic-derived,WBNP,Spruce,
White spruce,Sub-Hydric,MTNP,TreedSwamp-Spruce,
White spruce,Sub-Mesic,MTNP,Spruce,
White spruce,w,AVIE,TreedSwamp-Spruce,
White spruce,w,EINP,TreedSwamp-Spruce,
White spruce,w-derived,AVIE,TreedSwamp-Spruce,
White spruce,wet-derived,AVIE,TreedSwamp-Spruce,
White spruce,Xeric,MTNP,Spruce,
White-bark pine MixC,d,ABMICutblock,Pine,
White-bark pine MixC,d,AVIE,Pine,
White-bark pine MixC,m,AVIE,Pine,
White-bark pine,d,AVIE,Pine,
White-bark pine,m,AVIE,Pine,
