SITE_ID,NFI_SITE,NEAREST_TOWN,PROVINCIAL_MUNICIPALS,PUBLIC_LATTITUDE,PUBLIC_LONGITUDE,ELEVATION,PANEL,CENTER_OF_9_PANELS,ECOZONE_,WHITE_GREEN_ZONE,FOREST_MANAGEMENT_AGREEMENTS,LANDUSE_FRAMEWORK,NATIONAL_PARKS,NATURAL_REGIONS,NATURAL_SUBREGIONS,PROVINCIAL_PROTECTED_AREAS,SUSTAINABLE_RESOURCE_DEVELOPME,WATERSHEDS,WPAC
"417","1176901","Fort MacKay","Wood Buffalo","57.194435","-111.831306","326.9361877","C",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"418","1176906","Fort MacKay","Wood Buffalo","57.196716","-111.562981","282.8825989","D",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"419","1176911","Fort MacKay","Wood Buffalo","57.150703","-111.222115","423.5179138","D",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"420","1176916","Fort MacKay","Wood Buffalo","57.12814","-110.874931","586.3596802","D",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"421","1176921","Fort McMurray","Wood Buffalo","57.056065","-110.574104","653.6364746","B",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"422","1176926","Fort McMurray","Wood Buffalo","56.990757","-110.242638","523.3735962","B",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Athabasca Plain",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"423","1183661","Rainbow Lake","Northern Lights","57.674206","-119.835594","829.5216065","B","YES","Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Upper Boreal Highlands",,"Peace","Hay",
"424","1183666","Rainbow Lake","Northern Lights","57.626495","-119.425156","867.434082","E",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Upper Boreal Highlands",,"Peace","Hay",
"425","1183671","Rainbow Lake","Northern Lights","57.588516","-119.170555","717.4459229","E","YES","Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"426","1183676","Paddle Prairie","Northern Lights","57.593987","-118.768517","622.2150879","E",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"427","1183681","Paddle Prairie","Northern Lights","57.572441","-118.473648","830.5593262","A",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"428","1183686","Paddle Prairie","Northern Lights","57.568111","-118.121078","751.6641846","A","YES","Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"429","1183691","Paddle Prairie","Northern Lights","57.544125","-117.802765","774.7362061","A",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"430","1183696","Paddle Prairie","Northern Lights","57.538521","-117.416443","595.6182251","C",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"431","1183701","Paddle Prairie","Northern Lights","57.486771","-117.174126","346.6289063","C","YES","Boreal PLain","White Area",,"Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"432","1183706","Paddle Prairie","Mackenzie","57.484314","-116.86734","423.2452087","C",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Upper Hay","Central Peace - Upper","Mighty Peace Watershed Alliance"
"433","1183711","La Crête","Mackenzie","57.472519","-116.418343","506.2370911","D",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Upper Hay","Central Peace - Upper","Mighty Peace Watershed Alliance"
"434","1183716","La Crête","Mackenzie","57.45253","-116.183952","567.0841065","D","YES","Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Upper Hay","Central Peace - Upper","Mighty Peace Watershed Alliance"
"435","1183721","La Crête","Northern Sunrise","57.372704","-115.82354","805.550293","D",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Upper Boreal Highlands",,"Lesser Slave","Central Peace - Upper","Mighty Peace Watershed Alliance"
"436","1183726","Loon Lake","Mackenzie","57.399391","-115.440613","528.0703125","B",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Central Mixedwood",,"Upper Hay","Central Peace - Lower","Mighty Peace Watershed Alliance"
"437","1183731","Peerless Lake","Northern Sunrise","57.338673","-115.147408","442.2839966","B","YES","Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"438","1183736","Peerless Lake","Opportunity","57.335743","-114.848801","543.1130981","B",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"439","1183741","Peerless Lake","Opportunity","57.308632","-114.545311","547.3826294","E",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"440","1183746","Chipewyan Lake","Opportunity","57.252598","-114.223152","719.090271","E","YES","Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"441","1183751","Chipewyan Lake","Opportunity","57.216694","-113.841789","697.3782959","E",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Upper Boreal Highlands",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"442","1183756","Chipewyan Lake","Opportunity","57.201565","-113.577225","772.3649902","A",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Upper Boreal Highlands",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"443","1183761","Chipewyan Lake","Opportunity","57.134647","-113.191315","639.2426148","A",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Lesser Slave","Lower Athabasca","Athabasca Watershed Council"
"444","1183766","Chipewyan Lake","Opportunity","57.164497","-112.87368","523.0261841","A",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"445","1183771","Chipewyan Lake","Wood Buffalo","57.102642","-112.584282","498.9692993","C",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"446","1183776","Fort MacKay","Wood Buffalo","57.059208","-112.259789","396.651886","C","YES","Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"447","1183781","Fort MacKay","Wood Buffalo","57.008949","-111.88485","424.0469055","C",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"448","1183786","Fort MacKay","Wood Buffalo","57.004749","-111.505981","326.9083862","D",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"450","1183796","Fort McMurray","Wood Buffalo","56.909969","-110.963531","488.6051025","D",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"451","1183801","Fort McMurray","Wood Buffalo","56.852806","-110.575729","490.9053955","B",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"452","1183806","Anzac","Wood Buffalo","56.856949","-110.307251","478.3179016","B","YES","Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Athabasca Plain",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"453","1190541","Rainbow Lake","Northern Lights","57.439835","-119.800735","784.690918","B",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"454","1190546","Rainbow Lake","Northern Lights","57.462372","-119.531525","790.8098145","E",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"455","1190551","Manning","Northern Lights","57.4254","-119.134827","686.1831055","E",,"Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"456","1190556","Manning","Northern Lights","57.406326","-118.814575","758.4666138","E",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"457","1190561","Manning","Northern Lights","57.423565","-118.488312","940.8400269","A",,"Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"458","1190566","Manning","Clear Hills","57.361053","-118.200798","731.1248779","A",,"Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Upper Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"459","1190571","Manning","Northern Lights","57.360245","-117.821838","718.6586304","A",,"Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"460","1190576","Manning","Northern Lights","57.363075","-117.47641","693.4266968","C",,"Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"461","1190581","Manning","Northern Lights","57.293335","-117.186996","431.5744019","C",,"Boreal PLain","White Area",,"Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"462","1190586","Manning","Northern Sunrise","57.322102","-116.882797","429.3471985","C",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"463","1190591","Manning","Northern Sunrise","57.295532","-116.484352","524.1234741","D",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"464","1190596","Cadotte Lake","Northern Sunrise","57.233665","-116.160904","557.8900757","D",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"465","1190601","Loon Lake","Northern Sunrise","57.242516","-115.912079","683.8286133","D",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Lesser Slave","Central Peace - Upper","Mighty Peace Watershed Alliance"
"466","1190606","Loon Lake","Northern Sunrise","57.207367","-115.556686","594.3289185","B",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"467","1190611","Peerless Lake","Northern Sunrise","57.188461","-115.144821","465.2872925","B",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"468","1190616","Peerless Lake","Opportunity","57.12431","-114.855614","527.3712769","B",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"469","1190621","Peerless Lake","Opportunity","57.097446","-114.573807","594.9838867","E",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"470","1190626","Chipewyan Lake","Opportunity","57.085758","-114.188492","646.0073242","E",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Lower Boreal Highlands",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"471","1190631","Chipewyan Lake","Opportunity","57.040764","-113.952484","635.2432861","E",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"472","1190636","Chipewyan Lake","Opportunity","56.993168","-113.571747","629.5637817","A",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"473","1190641","Chipewyan Lake","Opportunity","57.02507","-113.249763","534.0941773","A","YES","Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"474","1190646","Chipewyan Lake","Opportunity","56.952862","-112.872215","525.8358765","A",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"475","1190651","Chipewyan Lake","Wood Buffalo","56.959236","-112.631226","499.77771","C",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"476","1190656","Fort MacKay","Wood Buffalo","56.894363","-112.319595","475.8299866","C",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"477","1190661","Fort McMurray","Wood Buffalo","56.868309","-111.964401","496.9543152","C",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"478","1190666","Fort McMurray","Wood Buffalo","56.848339","-111.667648","446.4779053","D",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"479","1190671","Fort McMurray","Wood Buffalo","56.755344","-111.322632","358.3605042","D",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"480","1190676","Fort McMurray","Wood Buffalo","56.739231","-110.993187","471.6142883","D",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"481","1190681","Anzac","Wood Buffalo","56.698807","-110.673233","467.2807007","B",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"483","1190691","Anzac","Wood Buffalo","56.651634","-110.02491","494.1908875","B",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"484","1197421","Rainbow Lake","Clear Hills","57.296318","-119.8769","747.1574707","A",,"Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"485","1197426","Manning","Clear Hills","57.261295","-119.448982","749.4932861","C",,"Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Lower Boreal Highlands","Chinchaga Wildland","Peace","Hay",
"486","1197431","Manning","Clear Hills","57.277439","-119.192505","898.453186","C",,"Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Hay",
"487","1197436","Manning","Clear Hills","57.217842","-118.853088","904.076294","C",,"Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Upper Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"488","1197441","Manning","Clear Hills","57.207901","-118.489037","754.6519775","D",,"Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"489","1197446","Manning","Clear Hills","57.232376","-118.162682","755.2418213","D",,"Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"490","1197451","Manning","Northern Lights","57.188354","-117.854561","658.7561035","D",,"Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"491","1197456","Manning","Northern Lights","57.176933","-117.569031","502.3859863","B",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"492","1197461","Manning","Northern Lights","57.163441","-117.215698","433.6841126","B",,"Boreal PLain","White Area",,"Lower Peace",,"Boreal","Dry Mixedwood","Other Provincial Protected Areas","Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"493","1197466","Manning","Northern Sunrise","57.087059","-116.834015","531.9666748","B",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"494","1197471","Manning","Northern Sunrise","57.119415","-116.553749","691.4827271","E",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"495","1197476","Cadotte Lake","Northern Sunrise","57.101963","-116.211586","643.5579224","E",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"496","1197481","Loon Lake","Northern Sunrise","57.065075","-115.927437","812.5684815","E",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Upper Boreal Highlands",,"Lesser Slave","Central Peace - Upper","Mighty Peace Watershed Alliance"
"497","1197486","Loon Lake","Northern Sunrise","57.023487","-115.629578","563.4935913","A",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"498","1197491","Loon Lake","Northern Sunrise","57.003262","-115.287514","489.5163879","A",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"499","1197496","Peerless Lake","Opportunity","56.986378","-114.944817","510.6805115","A",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"500","1197501","Peerless Lake","Opportunity","56.904362","-114.559021","546.0776978","C",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"501","1197506","Peerless Lake","Opportunity","56.885067","-114.255661","583.2523193","C",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"502","1197511","Chipewyan Lake","Opportunity","56.868839","-113.958031","526.7322998","C",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"503","1197516","Chipewyan Lake","Opportunity","56.834305","-113.634651","521.1774902","D",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"504","1197521","Chipewyan Lake","Opportunity","56.801697","-113.275459","499.3487854","D",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"505","1197526","Chipewyan Lake","Opportunity","56.769127","-112.996643","522.5338745","D",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Peace",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"506","1197531","Chipewyan Lake","Opportunity","56.732479","-112.732773","476.8080139","B",,"Boreal PLain","Green Area",,"Lower Peace",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"507","1197536","Fort McMurray","Wood Buffalo","56.703514","-112.361649","503.2221985","B",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Lower Athabasca","Athabasca Watershed Council"
"508","1197541","Fort McMurray","Wood Buffalo","56.682861","-112.014778","489.9916077","B",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"509","1197546","Fort McMurray","Wood Buffalo","56.633797","-111.700684","433.720398","E",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"510","1197551","Fort McMurray","Wood Buffalo","56.602238","-111.343719","374.6987915","E",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"511","1197556","Anzac","Wood Buffalo","56.553654","-111.028305","408.7578125","E",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"512","1197561","Anzac","Wood Buffalo","56.563141","-110.742599","431.5195923","A",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"513","1197566","Anzac","Wood Buffalo","56.497036","-110.381218","457.012085","A",,"Boreal PLain","Green Area",,"Lower Athabasca",,"Boreal","Central Mixedwood","Other Provincial Protected Areas","Waterways","Central Athabasca - Lower","Athabasca Watershed Council"
"514","1197571","Anzac","Wood Buffalo","56.463573","-110.065025","520.5142212","A",,"Boreal PLain","Green Area","Alpac Forest Products Incorporated","Lower Athabasca",,"Boreal","Central Mixedwood",,"Waterways","Central Athabasca - Lower","Beaver River Watershed Alliance"
"515","1204301","Hines Creek","Clear Hills","57.12088","-119.900093","763.520813","A","YES","Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Upper Peace","Mighty Peace Watershed Alliance"
"516","1204306","Hines Creek","Clear Hills","57.067837","-119.496414","800.375","C",,"Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Lower Boreal Highlands","Chinchaga Wildland","Peace","Hay",
"517","1204311","Manning","Clear Hills","57.110863","-119.264214","980.6329956","C","YES","Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Upper Boreal Highlands",,"Peace","Hay",
"518","1204316","Manning","Clear Hills","57.065987","-118.922653","775.6959229","C",,"Boreal PLain","Green Area",,"Upper Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"520","1204326","Manning","Clear Hills","57.044098","-118.253502","721.0083008","D","YES","Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Upper Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"521","1204331","Manning","Northern Lights","56.978039","-117.877327","713.0084229","D",,"Boreal PLain","Green Area","Manning Diversified Forest Products Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"522","1204336","Manning","Northern Lights","56.98455","-117.54744","467.8158875","B",,"Boreal PLain","White Area",,"Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"523","1204341","Manning","Northern Lights","56.979988","-117.263649","396.5158997","B","YES","Boreal PLain","White Area",,"Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"524","1204346","Manning","Northern Sunrise","56.917347","-116.898689","614.3480225","B",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Dry Mixedwood",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"525","1204351","Cadotte Lake","Northern Sunrise","56.929382","-116.615578","645.9199829","E",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"526","1204356","Cadotte Lake","Northern Sunrise","56.911518","-116.249298","760.9313965","E","YES","Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Peace","Central Peace - Upper","Mighty Peace Watershed Alliance"
"527","1204361","Cadotte Lake","Northern Sunrise","56.841602","-115.998611","814.6239014","E",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Lesser Slave","Central Peace - Upper","Mighty Peace Watershed Alliance"
"528","1204366","Loon Lake","Northern Sunrise","56.86496","-115.657036","613.8292847","A",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Lower Boreal Highlands",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"529","1204371","Loon Lake","Northern Sunrise","56.837563","-115.344734","498.3575134","A","YES","Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
"530","1204376","Peerless Lake","Northern Sunrise","56.777458","-115.052505","572.7764282","A",,"Boreal PLain","Green Area","Daishowa-Marubeni International Ltd.","Lower Peace",,"Boreal","Central Mixedwood",,"Lesser Slave","Central Peace - Lower","Mighty Peace Watershed Alliance"
